fecha,la_rioja_region,desoc,pea,tasa_desoc
2007-Q1,1. Resto país,998110,10211828,9.774058082451056
2007-Q1,2. NOA-Resto,90859,859924,10.565933733678792
2007-Q1,3. La Rioja,6116,75264,8.126062925170068
2007-Q2,1. Resto país,838871,10238748,8.193101344031517
2007-Q2,2. NOA-Resto,81317,874758,9.295942420646625
2007-Q2,3. La Rioja,7108,75203,9.451750595056048
2007-Q4,1. Resto país,753822,10095825,7.466670628700478
2007-Q4,2. NOA-Resto,73294,888330,8.250762667026894
2007-Q4,3. La Rioja,4790,74797,6.404000160434242
2008-Q1,1. Resto país,838174,10174022,8.238374165104027
2008-Q1,2. NOA-Resto,81243,881887,9.212404763875643
2008-Q1,3. La Rioja,5716,76093,7.511860486509929
2008-Q2,1. Resto país,814863,10183845,8.001525946241326
2008-Q2,2. NOA-Resto,67866,906666,7.485226092078009
2008-Q2,3. La Rioja,5776,79948,7.224696052434082
2008-Q3,1. Resto país,792315,10145042,7.809874025164214
2008-Q3,2. NOA-Resto,68434,906258,7.551271271536361
2008-Q3,3. La Rioja,4366,75699,5.7675794924635735
2008-Q4,1. Resto país,741014,10306071,7.190072725095723
2008-Q4,2. NOA-Resto,77012,919448,8.37589510227876
2008-Q4,3. La Rioja,4426,74037,5.97809203506355
2009-Q1,1. Resto país,863284,10417086,8.287192790767014
2009-Q1,2. NOA-Resto,85559,924850,9.251121803535709
2009-Q1,3. La Rioja,5748,75187,7.644938619708194
2009-Q2,1. Resto país,912636,10402781,8.77300021984506
2009-Q2,2. NOA-Resto,77740,915906,8.487770579076892
2009-Q2,3. La Rioja,5302,74580,7.109144542772862
2009-Q3,1. Resto país,955405,10380167,9.204139008553524
2009-Q3,2. NOA-Resto,73611,916107,8.035196761950296
2009-Q3,3. La Rioja,4349,74971,5.8009096850782305
2009-Q4,1. Resto país,884230,10433395,8.474997831482465
2009-Q4,2. NOA-Resto,70387,938955,7.496312389837638
2009-Q4,3. La Rioja,3948,77060,5.123280560602128
2010-Q1,1. Resto país,855742,10399871,8.228390525228631
2010-Q1,2. NOA-Resto,82650,936231,8.827949512460066
2010-Q1,3. La Rioja,5289,74513,7.098090266128058
2010-Q2,1. Resto país,826626,10421741,7.931745761096923
2010-Q2,2. NOA-Resto,68960,948680,7.269047518657502
2010-Q2,3. La Rioja,2706,71879,3.7646600537013595
2010-Q3,1. Resto país,779715,10413649,7.487433079413373
2010-Q3,2. NOA-Resto,68707,944869,7.271590029940659
2010-Q3,3. La Rioja,3707,77214,4.800942834201051
2010-Q4,1. Resto país,765924,10407857,7.359094192012823
2010-Q4,2. NOA-Resto,61676,939343,6.565865716782901
2010-Q4,3. La Rioja,5340,78452,6.806709835313312
2011-Q1,1. Resto país,766943,10408581,7.368372307425959
2011-Q1,2. NOA-Resto,73225,953521,7.679432335522762
2011-Q1,3. La Rioja,4864,78636,6.185462129304644
2011-Q2,1. Resto país,787027,10640849,7.39628012764771
2011-Q2,2. NOA-Resto,66736,959605,6.954528165234654
2011-Q2,3. La Rioja,4699,81463,5.768262892356039
2011-Q3,1. Resto país,780306,10667948,7.314490096877114
2011-Q3,2. NOA-Resto,64334,981929,6.551797533222871
2011-Q3,3. La Rioja,3171,80369,3.94555114534211
2011-Q4,1. Resto país,727280,10566513,6.882876120059664
2011-Q4,2. NOA-Resto,52820,960493,5.499259234580575
2011-Q4,3. La Rioja,2659,78225,3.3991690635985936
2012-Q1,1. Resto país,745290,10439293,7.139276577446385
2012-Q1,2. NOA-Resto,70982,966287,7.345850663415734
2012-Q1,3. La Rioja,4198,79063,5.309689741092546
2012-Q2,1. Resto país,766608,10619777,7.218682652187518
2012-Q2,2. NOA-Resto,71877,973086,7.386500268218842
2012-Q2,3. La Rioja,3686,81393,4.528644969469119
2012-Q3,1. Resto país,828162,10809439,7.661470683168664
2012-Q3,2. NOA-Resto,73603,999442,7.3644093404119495
2012-Q3,3. La Rioja,4364,80157,5.444315530770862
2012-Q4,1. Resto país,752705,10720149,7.021404273392095
2012-Q4,2. NOA-Resto,52665,970023,5.429252708440934
2012-Q4,3. La Rioja,3000,77074,3.892363183434102
2013-Q1,1. Resto país,850771,10601440,8.025051313783788
2013-Q1,2. NOA-Resto,69957,993162,7.043865955403046
2013-Q1,3. La Rioja,4399,78464,5.606392740619902
2013-Q2,1. Resto país,794753,10755542,7.389241750903859
