jurisdiccion,fecha,empresas
Buenos Aires,2015-01-01,172726
Buenos Aires,2015-02-01,174377
Buenos Aires,2015-03-01,173899
Buenos Aires,2015-04-01,171754
Buenos Aires,2015-05-01,171286
Buenos Aires,2015-06-01,171315
Buenos Aires,2015-07-01,171513
Buenos Aires,2015-08-01,171689
Buenos Aires,2015-09-01,171869
Buenos Aires,2015-10-01,172396
Buenos Aires,2015-11-01,173112
Buenos Aires,2015-12-01,172962
Buenos Aires,2016-01-01,173678
Buenos Aires,2016-02-01,175356
Buenos Aires,2016-03-01,174821
Buenos Aires,2016-04-01,172845
Buenos Aires,2016-05-01,172012
Buenos Aires,2016-06-01,171914
Buenos Aires,2016-07-01,171594
Buenos Aires,2016-08-01,171768
Buenos Aires,2016-09-01,172370
Buenos Aires,2016-10-01,172590
Buenos Aires,2016-11-01,172978
Buenos Aires,2016-12-01,172739
Buenos Aires,2017-01-01,173346
Buenos Aires,2017-02-01,175118
Buenos Aires,2017-03-01,174231
Buenos Aires,2017-04-01,172257
Buenos Aires,2017-05-01,172473
Buenos Aires,2017-06-01,172408
Buenos Aires,2017-07-01,172102
Buenos Aires,2017-08-01,172426
Buenos Aires,2017-09-01,172366
Buenos Aires,2017-10-01,172873
Buenos Aires,2017-11-01,173235
Buenos Aires,2017-12-01,173409
Buenos Aires,2018-01-01,173413
Buenos Aires,2018-02-01,174628
Buenos Aires,2018-03-01,174065
Buenos Aires,2018-04-01,172250
Buenos Aires,2018-05-01,171240
Buenos Aires,2018-06-01,170304
Buenos Aires,2018-07-01,169983
Buenos Aires,2018-08-01,169918
Buenos Aires,2018-09-01,170020
Buenos Aires,2018-10-01,169659
Buenos Aires,2018-11-01,169621
Buenos Aires,2018-12-01,168967
Buenos Aires,2019-01-01,169006
Buenos Aires,2019-02-01,170511
Buenos Aires,2019-03-01,169956
Buenos Aires,2019-04-01,167510
Buenos Aires,2019-05-01,166613
Buenos Aires,2019-06-01,166002
Buenos Aires,2019-07-01,165300
Buenos Aires,2019-08-01,165283
Buenos Aires,2019-09-01,165576
Buenos Aires,2019-10-01,165596
Buenos Aires,2019-11-01,165452
Buenos Aires,2019-12-01,164933
Buenos Aires,2020-01-01,165316
Buenos Aires,2020-02-01,166320
Buenos Aires,2020-03-01,165865
Buenos Aires,2020-04-01,163853
Buenos Aires,2020-05-01,162363
Buenos Aires,2020-06-01,161835
Buenos Aires,2020-07-01,161329
Buenos Aires,2020-08-01,160549
Buenos Aires,2020-09-01,160400
Buenos Aires,2020-10-01,160517
Buenos Aires,2020-11-01,160139
Buenos Aires,2020-12-01,159764
Buenos Aires,2021-01-01,160093
Buenos Aires,2021-02-01,160644
Buenos Aires,2021-03-01,160562
Buenos Aires,2021-04-01,160020
Buenos Aires,2021-05-01,159688
Buenos Aires,2021-06-01,159161
Buenos Aires,2021-07-01,158814
Buenos Aires,2021-08-01,158770
Buenos Aires,2021-09-01,158336
Buenos Aires,2021-10-01,159247
Buenos Aires,2021-11-01,159445
Buenos Aires,2021-12-01,159634
Buenos Aires,2022-01-01,160723
Buenos Aires,2022-02-01,162093
Buenos Aires,2022-03-01,162269
Buenos Aires,2022-04-01,161334
Buenos Aires,2022-05-01,161488
Buenos Aires,2022-06-01,162135
Buenos Aires,2022-07-01,162593
Buenos Aires,2022-08-01,163317
Buenos Aires,2022-09-01,164231
Buenos Aires,2022-10-01,163310
Buenos Aires,2022-11-01,164056
Buenos Aires,2022-12-01,164818
Buenos Aires,2023-01-01,166195
Buenos Aires,2023-02-01,167717
Buenos Aires,2023-03-01,167815
Buenos Aires,2023-04-01,166990
Buenos Aires,2023-05-01,166948
Buenos Aires,2023-06-01,167097
Buenos Aires,2023-07-01,167523
Buenos Aires,2023-08-01,167563
Buenos Aires,2023-09-01,167752
Buenos Aires,2023-10-01,168076
Buenos Aires,2023-11-01,168236
Buenos Aires,2023-12-01,168653
Buenos Aires,2024-01-01,169240
Buenos Aires,2024-02-01,169752
Buenos Aires,2024-03-01,169239
Buenos Aires,2024-04-01,167106
Buenos Aires,2024-05-01,166291
Buenos Aires,2024-06-01,165831
Buenos Aires,2024-07-01,165299
Buenos Aires,2024-08-01,165249
Buenos Aires,2024-09-01,165482
Buenos Aires,2024-10-01,165464
Buenos Aires,2024-11-01,165596
Buenos Aires,2024-12-01,165714
Buenos Aires,2025-01-01,166270
Buenos Aires,2025-02-01,167372
Buenos Aires,2025-03-01,166895
Buenos Aires,2025-04-01,165322
Buenos Aires,2025-05-01,164894
Buenos Aires,2025-06-01,164560
Buenos Aires,2025-07-01,164109
Buenos Aires,2025-08-01,163868
Buenos Aires,2025-09-01,163628
Buenos Aires,2025-10-01,163225
Buenos Aires,2025-11-01,162903
Buenos Aires,2025-12-01,162732
Buenos Aires,2026-01-01,162433
Buenos Aires,2026-02-01,163286
Buenos Aires,2026-03-01,162529
C.A.B.A.,2015-01-01,128610
C.A.B.A.,2015-02-01,128015
C.A.B.A.,2015-03-01,128001
C.A.B.A.,2015-04-01,128133
C.A.B.A.,2015-05-01,128286
C.A.B.A.,2015-06-01,128426
C.A.B.A.,2015-07-01,128642
C.A.B.A.,2015-08-01,128982
C.A.B.A.,2015-09-01,129228
C.A.B.A.,2015-10-01,129536
C.A.B.A.,2015-11-01,129829
C.A.B.A.,2015-12-01,129796
C.A.B.A.,2016-01-01,129758
C.A.B.A.,2016-02-01,129190
C.A.B.A.,2016-03-01,129027
C.A.B.A.,2016-04-01,129181
C.A.B.A.,2016-05-01,128902
C.A.B.A.,2016-06-01,128964
C.A.B.A.,2016-07-01,128679
C.A.B.A.,2016-08-01,128830
C.A.B.A.,2016-09-01,129179
C.A.B.A.,2016-10-01,129289
C.A.B.A.,2016-11-01,129298
C.A.B.A.,2016-12-01,128968
C.A.B.A.,2017-01-01,128974
C.A.B.A.,2017-02-01,128457
C.A.B.A.,2017-03-01,128132
C.A.B.A.,2017-04-01,128226
C.A.B.A.,2017-05-01,128100
C.A.B.A.,2017-06-01,128333
C.A.B.A.,2017-07-01,128023
C.A.B.A.,2017-08-01,128289
C.A.B.A.,2017-09-01,128620
C.A.B.A.,2017-10-01,128973
C.A.B.A.,2017-11-01,129136
C.A.B.A.,2017-12-01,129164
C.A.B.A.,2018-01-01,128639
C.A.B.A.,2018-02-01,128071
C.A.B.A.,2018-03-01,127902
C.A.B.A.,2018-04-01,128028
C.A.B.A.,2018-05-01,127693
C.A.B.A.,2018-06-01,127389
C.A.B.A.,2018-07-01,127344
C.A.B.A.,2018-08-01,127509
C.A.B.A.,2018-09-01,127551
C.A.B.A.,2018-10-01,127399
C.A.B.A.,2018-11-01,127309
C.A.B.A.,2018-12-01,126983
C.A.B.A.,2019-01-01,126751
C.A.B.A.,2019-02-01,126257
C.A.B.A.,2019-03-01,126060
C.A.B.A.,2019-04-01,125594
C.A.B.A.,2019-05-01,125459
C.A.B.A.,2019-06-01,125411
C.A.B.A.,2019-07-01,125003
C.A.B.A.,2019-08-01,125034
C.A.B.A.,2019-09-01,125293
C.A.B.A.,2019-10-01,125250
C.A.B.A.,2019-11-01,124953
C.A.B.A.,2019-12-01,124425
C.A.B.A.,2020-01-01,124443
C.A.B.A.,2020-02-01,123824
C.A.B.A.,2020-03-01,123630
C.A.B.A.,2020-04-01,123420
C.A.B.A.,2020-05-01,122616
C.A.B.A.,2020-06-01,122150
C.A.B.A.,2020-07-01,121720
C.A.B.A.,2020-08-01,120802
C.A.B.A.,2020-09-01,120685
C.A.B.A.,2020-10-01,120569
C.A.B.A.,2020-11-01,120233
C.A.B.A.,2020-12-01,119843
C.A.B.A.,2021-01-01,119661
C.A.B.A.,2021-02-01,118913
C.A.B.A.,2021-03-01,118836
C.A.B.A.,2021-04-01,119011
C.A.B.A.,2021-05-01,118904
C.A.B.A.,2021-06-01,118449
C.A.B.A.,2021-07-01,118149
C.A.B.A.,2021-08-01,118110
C.A.B.A.,2021-09-01,117560
C.A.B.A.,2021-10-01,118267
C.A.B.A.,2021-11-01,118353
C.A.B.A.,2021-12-01,118334
C.A.B.A.,2022-01-01,118559
C.A.B.A.,2022-02-01,118362
C.A.B.A.,2022-03-01,118502
C.A.B.A.,2022-04-01,118764
C.A.B.A.,2022-05-01,118875
C.A.B.A.,2022-06-01,119043
C.A.B.A.,2022-07-01,119306
C.A.B.A.,2022-08-01,119670
C.A.B.A.,2022-09-01,120238
C.A.B.A.,2022-10-01,121443
C.A.B.A.,2022-11-01,121818
C.A.B.A.,2022-12-01,121656
C.A.B.A.,2023-01-01,122201
C.A.B.A.,2023-02-01,121852
C.A.B.A.,2023-03-01,121988
C.A.B.A.,2023-04-01,121335
C.A.B.A.,2023-05-01,121228
C.A.B.A.,2023-06-01,121269
C.A.B.A.,2023-07-01,121593
C.A.B.A.,2023-08-01,121705
C.A.B.A.,2023-09-01,121516
C.A.B.A.,2023-10-01,122075
C.A.B.A.,2023-11-01,122155
C.A.B.A.,2023-12-01,122516
C.A.B.A.,2024-01-01,122654
C.A.B.A.,2024-02-01,122339
C.A.B.A.,2024-03-01,122353
C.A.B.A.,2024-04-01,122038
C.A.B.A.,2024-05-01,121794
C.A.B.A.,2024-06-01,121774
C.A.B.A.,2024-07-01,121420
C.A.B.A.,2024-08-01,121511
C.A.B.A.,2024-09-01,121623
C.A.B.A.,2024-10-01,121486
C.A.B.A.,2024-11-01,121388
C.A.B.A.,2024-12-01,121045
C.A.B.A.,2025-01-01,121410
C.A.B.A.,2025-02-01,121032
C.A.B.A.,2025-03-01,120721
C.A.B.A.,2025-04-01,120629
C.A.B.A.,2025-05-01,120599
C.A.B.A.,2025-06-01,120506
C.A.B.A.,2025-07-01,120306
C.A.B.A.,2025-08-01,120246
C.A.B.A.,2025-09-01,120390
C.A.B.A.,2025-10-01,120354
C.A.B.A.,2025-11-01,120330
C.A.B.A.,2025-12-01,120181
C.A.B.A.,2026-01-01,119673
C.A.B.A.,2026-02-01,119536
C.A.B.A.,2026-03-01,119133
Catamarca,2015-01-01,2797
Catamarca,2015-02-01,2778
Catamarca,2015-03-01,2796
Catamarca,2015-04-01,2820
Catamarca,2015-05-01,2811
Catamarca,2015-06-01,2802
Catamarca,2015-07-01,2813
Catamarca,2015-08-01,2799
Catamarca,2015-09-01,2815
Catamarca,2015-10-01,2815
Catamarca,2015-11-01,2869
Catamarca,2015-12-01,2865
Catamarca,2016-01-01,2855
Catamarca,2016-02-01,2827
Catamarca,2016-03-01,2828
Catamarca,2016-04-01,2827
Catamarca,2016-05-01,2797
Catamarca,2016-06-01,2782
Catamarca,2016-07-01,2776
Catamarca,2016-08-01,2787
Catamarca,2016-09-01,2793
Catamarca,2016-10-01,2795
Catamarca,2016-11-01,2802
Catamarca,2016-12-01,2788
Catamarca,2017-01-01,2780
Catamarca,2017-02-01,2792
Catamarca,2017-03-01,2774
Catamarca,2017-04-01,2771
Catamarca,2017-05-01,3302
Catamarca,2017-06-01,3084
Catamarca,2017-07-01,3056
Catamarca,2017-08-01,3052
Catamarca,2017-09-01,3061
Catamarca,2017-10-01,3061
Catamarca,2017-11-01,3061
Catamarca,2017-12-01,3046
Catamarca,2018-01-01,3001
Catamarca,2018-02-01,2960
Catamarca,2018-03-01,2956
Catamarca,2018-04-01,2958
Catamarca,2018-05-01,2934
Catamarca,2018-06-01,2921
Catamarca,2018-07-01,2895
Catamarca,2018-08-01,2913
Catamarca,2018-09-01,2928
Catamarca,2018-10-01,2909
Catamarca,2018-11-01,2921
Catamarca,2018-12-01,2899
Catamarca,2019-01-01,2858
Catamarca,2019-02-01,2826
Catamarca,2019-03-01,2817
Catamarca,2019-04-01,2777
Catamarca,2019-05-01,2787
Catamarca,2019-06-01,2768
Catamarca,2019-07-01,2760
Catamarca,2019-08-01,2750
Catamarca,2019-09-01,2750
Catamarca,2019-10-01,2777
Catamarca,2019-11-01,2746
Catamarca,2019-12-01,2745
Catamarca,2020-01-01,2740
Catamarca,2020-02-01,2693
Catamarca,2020-03-01,2689
Catamarca,2020-04-01,2717
Catamarca,2020-05-01,2690
Catamarca,2020-06-01,2692
Catamarca,2020-07-01,2685
Catamarca,2020-08-01,2682
Catamarca,2020-09-01,2678
Catamarca,2020-10-01,2684
Catamarca,2020-11-01,2711
Catamarca,2020-12-01,2718
Catamarca,2021-01-01,2712
Catamarca,2021-02-01,2695
Catamarca,2021-03-01,2710
Catamarca,2021-04-01,2716
Catamarca,2021-05-01,2717
Catamarca,2021-06-01,2718
Catamarca,2021-07-01,2708
Catamarca,2021-08-01,2723
Catamarca,2021-09-01,2733
Catamarca,2021-10-01,2750
Catamarca,2021-11-01,2769
Catamarca,2021-12-01,2762
Catamarca,2022-01-01,2768
Catamarca,2022-02-01,2748
Catamarca,2022-03-01,2762
Catamarca,2022-04-01,2797
Catamarca,2022-05-01,2811
Catamarca,2022-06-01,2813
Catamarca,2022-07-01,2850
Catamarca,2022-08-01,2883
Catamarca,2022-09-01,2912
Catamarca,2022-10-01,2961
Catamarca,2022-11-01,2965
Catamarca,2022-12-01,3014
Catamarca,2023-01-01,3055
Catamarca,2023-02-01,3089
Catamarca,2023-03-01,3128
Catamarca,2023-04-01,3154
Catamarca,2023-05-01,3149
Catamarca,2023-06-01,3198
Catamarca,2023-07-01,3253
Catamarca,2023-08-01,3277
Catamarca,2023-09-01,3336
Catamarca,2023-10-01,3384
Catamarca,2023-11-01,3335
Catamarca,2023-12-01,3300
Catamarca,2024-01-01,3282
Catamarca,2024-02-01,3183
Catamarca,2024-03-01,3135
Catamarca,2024-04-01,3112
Catamarca,2024-05-01,3097
Catamarca,2024-06-01,3085
Catamarca,2024-07-01,3053
Catamarca,2024-08-01,3073
Catamarca,2024-09-01,3087
Catamarca,2024-10-01,3080
Catamarca,2024-11-01,3072
Catamarca,2024-12-01,3076
Catamarca,2025-01-01,3074
Catamarca,2025-02-01,3055
Catamarca,2025-03-01,3067
Catamarca,2025-04-01,3081
Catamarca,2025-05-01,3105
Catamarca,2025-06-01,3102
Catamarca,2025-07-01,3047
Catamarca,2025-08-01,3023
Catamarca,2025-09-01,3016
Catamarca,2025-10-01,2982
Catamarca,2025-11-01,2965
Catamarca,2025-12-01,2942
Catamarca,2026-01-01,2951
Catamarca,2026-02-01,2908
Catamarca,2026-03-01,2911
Chaco,2015-01-01,8231
Chaco,2015-02-01,8181
Chaco,2015-03-01,8178
Chaco,2015-04-01,8191
Chaco,2015-05-01,8224
Chaco,2015-06-01,8237
Chaco,2015-07-01,8257
Chaco,2015-08-01,8289
Chaco,2015-09-01,8319
Chaco,2015-10-01,8327
Chaco,2015-11-01,8320
Chaco,2015-12-01,8297
Chaco,2016-01-01,8299
