fecha,la_rioja_region,formales,asalariados,tasa_inf_aportes
2007-Q1,1. Resto país,4400231,7018902,37.30884118342157
2007-Q1,2. NOA-Resto,292807,561867,47.88677747580833
2007-Q1,3. La Rioja,30813,53911,42.84468846803065
2007-Q2,1. Resto país,4551875,7196854,36.7518779733478
2007-Q2,2. NOA-Resto,306646,586275,47.695876508464465
2007-Q2,3. La Rioja,30744,52943,41.93000018888239
2007-Q4,1. Resto país,4664470,7190310,35.12838806671756
2007-Q4,2. NOA-Resto,324169,592078,45.24893679548978
2007-Q4,3. La Rioja,32385,55373,41.514817690932404
2008-Q1,1. Resto país,4807854,7202667,33.248975691920776
2008-Q1,2. NOA-Resto,321582,584635,44.99439821427044
2008-Q1,3. La Rioja,32013,55109,41.9096699268722
2008-Q2,1. Resto país,4845721,7141419,32.14624432483237
2008-Q2,2. NOA-Resto,327505,616932,46.91392244201954
2008-Q2,3. La Rioja,33907,57500,41.031304347826094
2008-Q3,1. Resto país,4751388,7102530,33.102880241266135
2008-Q3,2. NOA-Resto,333433,612309,45.54497810745881
2008-Q3,3. La Rioja,32472,56653,42.68264699133321
2008-Q4,1. Resto país,4879654,7338935,33.510052889145356
2008-Q4,2. NOA-Resto,348495,620413,43.82854646823971
2008-Q4,3. La Rioja,32199,54956,41.40949122934712
2009-Q1,1. Resto país,4939070,7311571,32.44858047607005
2009-Q1,2. NOA-Resto,352044,622091,43.40956548157745
2009-Q1,3. La Rioja,33483,54050,38.0518038852914
2009-Q2,1. Resto país,4926251,7202417,31.602807779666193
2009-Q2,2. NOA-Resto,349515,618824,43.51948211446227
2009-Q2,3. La Rioja,32743,55374,40.86936107198325
2009-Q3,1. Resto país,4913699,7198996,31.744662727969285
2009-Q3,2. NOA-Resto,361432,615216,41.251202829575305
2009-Q3,3. La Rioja,33495,56051,40.24192253483435
2009-Q4,1. Resto país,4835045,7204573,32.88922188726522
2009-Q4,2. NOA-Resto,381309,635835,40.030196513246366
2009-Q4,3. La Rioja,35385,59792,40.81984211934707
2010-Q1,1. Resto país,5013316,7274562,31.084290710560992
2010-Q1,2. NOA-Resto,377114,615038,38.684439010272534
2010-Q1,3. La Rioja,35672,55909,36.19631901840491
2010-Q2,1. Resto país,4924332,7309205,32.62835014204691
2010-Q2,2. NOA-Resto,387635,645650,39.9620537442887
2010-Q2,3. La Rioja,32507,55728,41.66846109675567
2010-Q3,1. Resto país,5038542,7381333,31.73940262551494
2010-Q3,2. NOA-Resto,406096,667342,39.147243841988065
2010-Q3,3. La Rioja,36217,61510,41.120143066168104
2010-Q4,1. Resto país,5214082,7450123,30.013477629832423
2010-Q4,2. NOA-Resto,405050,664150,39.012271324249035
2010-Q4,3. La Rioja,37203,59910,37.901852779168756
2011-Q1,1. Resto país,5176083,7434491,30.377439423896007
2011-Q1,2. NOA-Resto,390267,637087,38.741961458953014
2011-Q1,3. La Rioja,35713,57409,37.79198383528715
2011-Q2,1. Resto país,5231678,7587118,31.045253283262497
2011-Q2,2. NOA-Resto,401476,648969,38.13633625026773
2011-Q2,3. La Rioja,35560,59182,39.91416309012875
2011-Q3,1. Resto país,5275054,7606512,30.65081603762671
2011-Q3,2. NOA-Resto,427167,684562,37.59995442341234
2011-Q3,3. La Rioja,34775,59818,41.865324818616465
2011-Q4,1. Resto país,5298596,7644361,30.68621432190342
2011-Q4,2. NOA-Resto,404471,668830,39.52558946219518
2011-Q4,3. La Rioja,38505,61543,37.43398924329331
2012-Q1,1. Resto país,5349101,7517573,28.845373367175824
2012-Q1,2. NOA-Resto,394570,659548,40.175696082771836
2012-Q1,3. La Rioja,39581,59291,33.242819314904466
2012-Q2,1. Resto país,5199765,7527625,30.924229089520267
2012-Q2,2. NOA-Resto,414764,672638,38.33770913923983
2012-Q2,3. La Rioja,35916,61511,41.61044366048349
2012-Q3,1. Resto país,5254131,7763116,32.31930322823979
2012-Q3,2. NOA-Resto,416131,694773,40.10547329847303
2012-Q3,3. La Rioja,33297,60235,44.721507429235494
2012-Q4,1. Resto país,5318274,7696331,30.89858011564212
2012-Q4,2. NOA-Resto,399377,672740,40.63427178404733
2012-Q4,3. La Rioja,34688,58965,41.17188162469262
2013-Q1,1. Resto país,5418996,7515845,27.89904528366405
2013-Q1,2. NOA-Resto,400209,676925,40.87838386822765
2013-Q1,3. La Rioja,36354,58942,38.322418648841236
2013-Q2,1. Resto país,5251715,7554461,30.481936434644368
2013-Q2,2. NOA-Resto,413774,700236,40.909350561810584
2013-Q2,3. La Rioja,36527,58703,37.776604262133105
2013-Q3,1. Resto país,5267413,7653615,31.177450133041702
2013-Q3,2. NOA-Resto,419155,697966,39.94621514515033
2013-Q3,3. La Rioja,36926,57879,36.201385649371964
2013-Q4,1. Resto país,5453676,7749131,29.62209569047161
2013-Q4,2. NOA-Resto,418389,707363,40.85229224598969
2013-Q4,3. La Rioja,42025,62105,32.33234039127284
2014-Q1,1. Resto país,5454511,7684538,29.019662600406164
2014-Q1,2. NOA-Resto,420188,679895,38.198104119018375
2014-Q1,3. La Rioja,41162,63291,34.96389692057322
2014-Q2,1. Resto país,5373143,7603552,29.333777160990024
2014-Q2,2. NOA-Resto,423541,700034,39.49708157032372
2014-Q2,3. La Rioja,42931,61775,30.504249291784703
2014-Q3,1. Resto país,5369823,7611773,29.45371597392618
2014-Q3,2. NOA-Resto,429966,707090,39.19218204189
2014-Q3,3. La Rioja,41272,61761,33.17465714609543
2014-Q4,1. Resto país,5431581,7779593,30.181681740934266
2014-Q4,2. NOA-Resto,433818,729604,40.540622036063404
2014-Q4,3. La Rioja,43632,65785,33.6748498897925
2015-Q1,1. Resto país,5530273,7711222,28.282793570201974
2015-Q1,2. NOA-Resto,449687,739359,39.178802178643934
