fecha,la_rioja_region,mayor_25_superior,pob_tot,porc_mayor_25_superior
2007-Q1,1. Resto país,3187542,21801989,14.62041834806907
2007-Q1,2. NOA-Resto,304124,2127635,14.293993095620255
2007-Q1,3. La Rioja,20960,168426,12.444634438863359
2007-Q2,1. Resto país,3254297,21851182,14.893002126841468
2007-Q2,2. NOA-Resto,305197,2135681,14.290383254802567
2007-Q2,3. La Rioja,21301,169347,12.578315529652134
2007-Q4,1. Resto país,3273414,21952013,14.91168030922722
2007-Q4,2. NOA-Resto,315589,2151423,14.668849408042956
2007-Q4,3. La Rioja,22537,171360,13.151844070961719
2008-Q1,1. Resto país,3408398,22002808,15.490740999966912
2008-Q1,2. NOA-Resto,307045,2159185,14.220411868367
2008-Q1,3. La Rioja,23323,172435,13.525676341809959
2008-Q2,1. Resto país,3332804,22051592,15.113666169771326
2008-Q2,2. NOA-Resto,307048,2166973,14.169442812623878
2008-Q2,3. La Rioja,23799,173408,13.724280310020298
2008-Q3,1. Resto país,3322280,22102006,15.031576771809762
2008-Q3,2. NOA-Resto,314220,2174891,14.447620593399854
2008-Q3,3. La Rioja,23641,174434,13.552977057225082
2008-Q4,1. Resto país,3429163,22152776,15.479608514977988
2008-Q4,2. NOA-Resto,332918,2182667,15.252807688942013
2008-Q4,3. La Rioja,23599,175455,13.450172408879771
2009-Q1,1. Resto país,3519622,22202767,15.852177343481557
2009-Q1,2. NOA-Resto,325665,2190727,14.865613104690818
2009-Q1,3. La Rioja,24881,176427,14.102716704359311
2009-Q2,1. Resto país,3594951,22252022,16.15561498186547
2009-Q2,2. NOA-Resto,332348,2198325,15.11823774919541
2009-Q2,3. La Rioja,24679,177425,13.90953924193321
2009-Q3,1. Resto país,3548693,22301851,15.912100748946804
2009-Q3,2. NOA-Resto,326384,2206238,14.793689529416138
2009-Q3,3. La Rioja,23656,178464,13.255334409180563
2009-Q4,1. Resto país,3565917,22351840,15.953572502308536
2009-Q4,2. NOA-Resto,323293,2214039,14.601955972771934
2009-Q4,3. La Rioja,25133,179463,14.00455804260488
2010-Q1,1. Resto país,3682884,22401549,16.440309551808223
2010-Q1,2. NOA-Resto,339271,2221839,15.269828281887213
2010-Q1,3. La Rioja,24401,180367,13.528527945799398
2010-Q2,1. Resto país,3725596,22449473,16.595471973885534
2010-Q2,2. NOA-Resto,347255,2229391,15.576226870925739
2010-Q2,3. La Rioja,25858,181414,14.253585721057913
2010-Q3,1. Resto país,3696200,22499498,16.427922080750424
2010-Q3,2. NOA-Resto,353504,2237145,15.801568517016108
2010-Q3,3. La Rioja,26123,182441,14.318601630116037
2010-Q4,1. Resto país,3754046,22548893,16.648471390591105
2010-Q4,2. NOA-Resto,350645,2244864,15.619877195233208
2010-Q4,3. La Rioja,27507,183413,14.997301172763109
2011-Q1,1. Resto país,3732782,22598176,16.518067652893755
2011-Q1,2. NOA-Resto,360442,2252572,16.001353119900273
2011-Q1,3. La Rioja,29703,184453,16.10328918477878
2011-Q2,1. Resto país,3790575,22646275,16.738183211146204
2011-Q2,2. NOA-Resto,349248,2260163,15.452336844731995
2011-Q2,3. La Rioja,27381,185395,14.76900671539146
2011-Q3,1. Resto país,3893544,22695413,17.155642860519876
2011-Q3,2. NOA-Resto,384118,2267953,16.936770735548752
2011-Q3,3. La Rioja,27429,186424,14.713234347508905
2011-Q4,1. Resto país,3883941,22744827,17.07615098589231
2011-Q4,2. NOA-Resto,369684,2275438,16.246718214251498
2011-Q4,3. La Rioja,27954,187377,14.91858659280488
2012-Q1,1. Resto país,3779783,22793966,16.582384127448467
2012-Q1,2. NOA-Resto,367576,2283400,16.097748970832967
2012-Q1,3. La Rioja,30885,188406,16.392790038533807
2012-Q2,1. Resto país,3775241,22841683,16.52785830185981
2012-Q2,2. NOA-Resto,389149,2290959,16.986292639894472
2012-Q2,3. La Rioja,25009,189360,13.207118715673849
2012-Q3,1. Resto país,3857580,22890925,16.85200576210878
2012-Q3,2. NOA-Resto,383252,2298542,16.673700110765868
2012-Q3,3. La Rioja,22036,190354,11.57632621326581
2012-Q4,1. Resto país,4039211,22939532,17.608079362735037
2012-Q4,2. NOA-Resto,346962,2306211,15.044677178280738
2012-Q4,3. La Rioja,24481,191269,12.799251316209109
2013-Q1,1. Resto país,4074386,22988498,17.72358507284817
2013-Q1,2. NOA-Resto,393771,2313913,17.01753696011907
2013-Q1,3. La Rioja,28043,192308,14.58233666826133
2013-Q2,1. Resto país,3926757,23035776,17.04634130840654
2013-Q2,2. NOA-Resto,409525,2321263,17.642335228709545
2013-Q2,3. La Rioja,26349,193233,13.635869649594012
2013-Q3,1. Resto país,4006658,23084476,17.356503998617946
2013-Q3,2. NOA-Resto,398211,2328944,17.098350153545987
2013-Q3,3. La Rioja,26212,194281,13.491797962744684
2013-Q4,1. Resto país,3941522,23499293,16.772938658197077
2013-Q4,2. NOA-Resto,366205,2367473,15.468180629726294
2013-Q4,3. La Rioja,33078,196105,16.867494454501415
2014-Q1,1. Resto país,3925106,23738822,16.534544131970826
2014-Q1,2. NOA-Resto,382686,2390613,16.00786074534021
2014-Q1,3. La Rioja,31366,197556,15.877017149567719
2014-Q2,1. Resto país,3880747,23981363,16.18234543215913
2014-Q2,2. NOA-Resto,389166,2413176,16.126714338282827
2014-Q2,3. La Rioja,35250,199026,17.711253806035394
2014-Q3,1. Resto país,4093597,24039198,17.02884181077921
2014-Q3,2. NOA-Resto,374098,2420645,15.454475976444296
2014-Q3,3. La Rioja,33956,199929,16.984029330412294
2014-Q4,1. Resto país,4084206,24096424,16.949427848713153
2014-Q4,2. NOA-Resto,370583,2427763,15.26438124314441
2014-Q4,3. La Rioja,34398,200933,17.119139215559414
2015-Q1,1. Resto país,4102794,24150002,16.988793624116468
2015-Q1,2. NOA-Resto,386802,2434687,15.88713456801634
2015-Q1,3. La Rioja,33155,201847,16.42580766620262
2015-Q2,1. Resto país,3980297,24203885,16.444868251522433
2015-Q2,2. NOA-Resto,407248,2441475,16.68040835970059
2015-Q2,3. La Rioja,32122,202781,15.840734585587407
2016-Q2,1. Resto país,4337187,24595514,17.634057169937574
2016-Q2,2. NOA-Resto,405572,2403859,16.87170503760828
2016-Q2,3. La Rioja,34436,201357,17.10196317982489
2016-Q3,1. Resto país,4449733,24660532,18.043945686167678
2016-Q3,2. NOA-Resto,400331,2409690,16.613381804298477
2016-Q3,3. La Rioja,34404,202181,17.0164357679505
2016-Q4,1. Resto país,4505837,24725860,18.223176059396923
2016-Q4,2. NOA-Resto,423290,2415832,17.521499839392806
2016-Q4,3. La Rioja,31681,203138,15.595801868680404
2017-Q1,1. Resto país,4457880,24790882,17.981933841643873
2017-Q1,2. NOA-Resto,401340,2421606,16.57329887686106
2017-Q1,3. La Rioja,33622,204009,16.480645461719824
2017-Q2,1. Resto país,4380886,24854622,17.626041546719158
2017-Q2,2. NOA-Resto,426152,2426815,17.560135403811167
2017-Q2,3. La Rioja,36723,205012,17.91260999356135
2017-Q3,1. Resto país,4609222,24919273,18.496615049724767
2017-Q3,2. NOA-Resto,436663,2433104,17.946746213889746
2017-Q3,3. La Rioja,37488,205762,18.219107512563056
2017-Q4,1. Resto país,4748964,24982973,19.008802515217063
2017-Q4,2. NOA-Resto,446689,2438835,18.315671211869603
2017-Q4,3. La Rioja,34019,206692,16.45878892264819
2018-Q1,1. Resto país,4799592,25047647,19.16184781748162
2018-Q1,2. NOA-Resto,434992,2444581,17.79413322773923
2018-Q1,3. La Rioja,33295,207754,16.026165561192567
2018-Q2,1. Resto país,4750295,25109796,18.918094754732376
2018-Q2,2. NOA-Resto,433125,2450134,17.67760457183158
2018-Q2,3. La Rioja,33420,208533,16.026240451151615
2018-Q3,1. Resto país,4782356,25176061,18.995648286679952
2018-Q3,2. NOA-Resto,446663,2456164,18.185389900674384
2018-Q3,3. La Rioja,35543,209291,16.98257450153136
2018-Q4,1. Resto país,4927561,25241988,19.52128730906615
2018-Q4,2. NOA-Resto,442547,2462008,17.975043135521897
2018-Q4,3. La Rioja,39443,210314,18.75433875063001
2019-Q1,1. Resto país,5009721,25566322,19.595000798315848
2019-Q1,2. NOA-Resto,428567,2477341,17.299475526380906
2019-Q1,3. La Rioja,41420,216968,19.090372773865273
2019-Q2,1. Resto país,5180980,25628706,20.2155348771803
2019-Q2,2. NOA-Resto,458123,2483502,18.446653153490512
2019-Q2,3. La Rioja,36501,217984,16.744806958308867
2019-Q3,1. Resto país,5119940,25280566,20.252473777683615
2019-Q3,2. NOA-Resto,480103,2489574,19.284544263396068
2019-Q3,3. La Rioja,34988,218988,15.977131167004584
2019-Q4,1. Resto país,5275212,25753971,20.48310142152447
2019-Q4,2. NOA-Resto,464011,2494933,18.59813469940876
2019-Q4,3. La Rioja,36596,219814,16.648621106935867
2020-Q1,1. Resto país,5113898,25815742,19.80922338006012
2020-Q1,2. NOA-Resto,457936,2500855,18.311177577268577
2020-Q1,3. La Rioja,38100,220733,17.26067239606221
2020-Q2,1. Resto país,4918543,25876437,19.007806213815297
2020-Q2,2. NOA-Resto,517577,2506680,20.647908787719214
2020-Q2,3. La Rioja,35885,221660,16.189208698005956
2020-Q3,1. Resto país,5132516,25771546,19.915436970680766
2020-Q3,2. NOA-Resto,465795,2512256,18.540905066999542
2020-Q3,3. La Rioja,38471,222686,17.27589520670361
2020-Q4,1. Resto país,5074274,25998271,19.517736391008462
2020-Q4,2. NOA-Resto,483943,2517904,19.22007352146865
2020-Q4,3. La Rioja,41065,223489,18.37450612781837
2021-Q1,1. Resto país,5556027,26059100,21.320870636361196
2021-Q1,2. NOA-Resto,477762,2523552,18.93212424392285
2021-Q1,3. La Rioja,38756,224486,17.264328287732866
2021-Q2,1. Resto país,5675534,26117974,21.730376176957677
2021-Q2,2. NOA-Resto,480813,2529111,19.011146604478807
2021-Q2,3. La Rioja,39768,225354,17.646902207194014
2021-Q3,1. Resto país,5812155,26178493,22.202022858993452
2021-Q3,2. NOA-Resto,475059,2534819,18.741338138936154
2021-Q3,3. La Rioja,45087,226249,19.928043880856933
