fecha,la_rioja_region,pob_NBI_TOT,pob_NBI_HAC,pob_NBI_VIV,pob_NBI_SAN,pob_NBI_ESC,pob_NBI_SUB,pob_base,pct_pob_NBI_TOT,pct_pob_NBI_HAC,pct_pob_NBI_VIV,pct_pob_NBI_SAN,pct_pob_NBI_ESC,pct_pob_NBI_SUB
2007-Q1,1. Resto país,9262638,1834178,145090,209630,8581078,281627,21801989,42.48528884222444,8.412892970453292,0.6654897404085471,0.9615177771165742,39.35915204800809,1.2917491151839404
2007-Q1,2. NOA-Resto,1140609,271192,19257,87331,1056007,35113,2127635,53.60924218674725,12.746171218277572,0.9050894537831912,4.104604408180915,49.632902260021105,1.6503300613122083
2007-Q1,3. La Rioja,84625,16807,1718,2275,80812,2070,168426,50.2446178143517,9.978863120895824,1.0200325365442389,1.3507415719663236,47.980715566480235,1.2290263973495779
2007-Q2,1. Resto país,9165033,1662335,153882,256291,8476271,255644,21851182,41.9429621701929,7.607528965709956,0.7042273502641642,1.1728930727866345,38.790903851333994,1.1699321345637046
2007-Q2,2. NOA-Resto,1139998,258126,18231,90221,1048149,32547,2135681,53.37866469758358,12.08635559336811,0.8536387222623603,4.224460488247074,49.07797559654274,1.5239635507362757
2007-Q2,3. La Rioja,90922,22380,210,2197,85945,2975,169347,53.689761259425914,13.215468830271574,0.12400573969423728,1.2973362386106633,50.75082522867249,1.7567479790016949
2008-Q1,1. Resto país,9234860,1579487,130454,199419,8651582,261958,22002808,41.971279302169066,7.178570117050515,0.592897052048993,0.9063343187833117,39.32035402026868,1.1905662222749023
2008-Q1,2. NOA-Resto,1142452,244612,21765,100144,1045395,35632,2159185,52.911260498753,11.328904193017273,1.0080192294777892,4.638046299877037,48.416184810472465,1.650252294268439
2008-Q1,3. La Rioja,91932,19125,1025,944,89511,1736,172435,53.31400237770754,11.091135790297793,0.5944268854930843,0.5474526633224114,51.90999507060632,1.0067561689912141
2008-Q2,1. Resto país,9050080,1495152,163106,185144,8518225,265328,22051592,41.04048360771413,6.780245163251705,0.7396563477140335,0.8395947104408608,38.62861692706812,1.2032147157447861
2008-Q2,2. NOA-Resto,1155705,246225,29001,98121,1064007,33930,2166973,53.33269034731859,11.362624268968741,1.3383184746648897,4.528021345905095,49.10107324825921,1.565778622991611
2008-Q2,3. La Rioja,91487,22579,1109,565,86262,3211,173408,52.75823491419081,13.020737220889464,0.6395322015131942,0.3258211847204281,49.74510979885588,1.8517023436058315
2008-Q3,1. Resto país,9440985,1629546,159231,186687,8906378,193670,22102006,42.71551188611568,7.372842085012556,0.7204368689430272,0.8446608873420811,40.29669524114689,0.8762553046090025
2008-Q3,2. NOA-Resto,1178120,259129,32621,99155,1086983,34545,2174891,54.16915146552172,11.914574109691015,1.4998912589182631,4.559079052697354,49.97873456646793,1.5883554624116794
2008-Q3,3. La Rioja,94521,21189,480,1098,88274,1406,174434,54.187257071442495,12.147287799396906,0.27517571115722855,0.6294644392721602,50.60595984727748,0.8060355205980486
2008-Q4,1. Resto país,9378389,1601574,79669,158536,8922221,283725,22152776,42.33505092093199,7.229676316864306,0.3596343862277125,0.7156484586852682,40.275859783893445,1.2807649930645262
2008-Q4,2. NOA-Resto,1148582,245492,26352,93898,1061060,42368,2182667,52.622869177936906,11.24734098238531,1.2073302982085679,4.301984682042657,48.61300418249783,1.9411114934160822
2008-Q4,3. La Rioja,95167,19507,266,2185,90305,2440,175455,54.240118548915675,11.117950471630902,0.15160582485537602,1.2453335613120173,51.4690376449802,1.3906699723575844
2009-Q1,1. Resto país,9187546,1473292,114781,171436,8590019,304154,22202529,41.38062830590155,6.6356945193045345,0.5169726385674354,0.7721462721656618,38.689371827867,1.369907004738064
2009-Q1,2. NOA-Resto,1152611,237356,22807,73479,1048478,44253,2190727,52.61317361770773,10.834576832257055,1.0410699279280349,3.35409204341755,47.859820050604206,2.0200143605296326
2009-Q1,3. La Rioja,91210,23140,102,1209,86881,2637,176427,51.69843618040323,13.11590629552166,0.05781428012719142,0.6852692615075924,49.244730115005076,1.4946691832882724
2009-Q2,1. Resto país,9270764,1487901,100940,138166,8624220,324120,22251818,41.662950865407936,6.68664915379049,0.4536258565479908,0.6209200524649267,38.757372543672616,1.45660008544021
2009-Q2,2. NOA-Resto,1154414,270805,21445,67125,1041952,40174,2198325,52.513345387965835,12.31869718990595,0.9755154492625066,3.053461157927058,47.39754130986092,1.8274822876508252
2009-Q2,3. La Rioja,92131,22969,652,973,86216,446,177425,51.92672960405805,12.945751726081442,0.36747921657038185,0.5484007327039594,48.59292658869945,0.2513738199239115
2009-Q3,1. Resto país,9325384,1553894,89631,139547,8779348,305623,22301608,41.81485030137737,6.96763210975639,0.4019037551014259,0.6257261808206834,39.366434922540115,1.3704079096000612
2009-Q3,2. NOA-Resto,1166044,284906,27417,67046,1076372,38703,2206238,52.852140158949304,12.913656640851984,1.242703643033979,3.038928710320464,48.787664794097466,1.754253167609297
2009-Q3,3. La Rioja,94850,15218,1105,2296,91531,1338,178464,53.14797382105074,8.527209969517662,0.6191724941724942,1.2865339788416712,51.28821499013807,0.7497310381925766
2009-Q4,1. Resto país,9058186,1338590,123689,124232,8590498,286576,22351840,40.52546009635001,5.988723970822984,0.5533727872067803,0.5558021174095734,38.43306859748459,1.2821136872848051
2009-Q4,2. NOA-Resto,1149526,248391,29341,61946,1049844,37540,2214039,51.91986229691528,11.218908068015063,1.32522507507772,2.797873027530229,47.41759291502996,1.6955437551009718
2009-Q4,3. La Rioja,95611,22177,203,2864,90080,640,179463,53.27616277449948,12.357421864116837,0.11311523823852271,1.5958721296311775,50.1941904459415,0.356619470308643
2010-Q1,1. Resto país,9008174,1486651,151422,194264,8449277,221840,22401549,40.21228174890942,6.636375904184126,0.6759443286712004,0.8671900322607156,37.71737838307521,0.9902886626277495
2010-Q1,2. NOA-Resto,1135066,245449,21435,54130,1045969,40725,2221839,51.08677991519638,11.047110074132284,0.964741369649196,2.4362701347847437,47.076723380947044,1.8329410906910897
2010-Q1,3. La Rioja,84455,20139,0,504,79559,707,180367,46.82397556093964,11.165567980839066,0,0.2794302727217285,44.10951005449999,0.39197857701242467
2010-Q2,1. Resto país,9239721,1654351,87811,157415,8585477,288137,22449473,41.157852569634926,7.369219758521725,0.39114949379880765,0.7011968610577184,38.24355698683885,1.2834911536676161
2010-Q2,2. NOA-Resto,1148794,270983,20497,35517,1055051,31635,2229391,51.52949841458946,12.155023501933936,0.9193990645875937,1.5931256562890943,47.32462811592942,1.4189973853846185
2010-Q2,3. La Rioja,86586,16955,162,791,81178,438,181414,47.72840023371956,9.346026216278789,0.08929851058903943,0.43601927083907527,44.74737341109286,0.24143671381481033
2010-Q3,1. Resto país,9209145,1500336,98634,122915,8654183,254993,22499498,40.93044653707385,6.668308777378056,0.4383831141477023,0.5463010774729284,38.46389372776228,1.1333275080181788
2010-Q3,2. NOA-Resto,1149603,277069,23508,46357,1055692,28939,2237145,51.387058058373505,12.38493705146515,1.0508035911842997,2.07214999474777,47.1892523730022,1.2935683650366874
2010-Q3,3. La Rioja,92854,14417,130,2618,88742,2430,182441,50.895357951337694,7.902280737334262,0.07125591287046223,1.4349844607297702,48.6414786150043,1.3319374482709478
2010-Q4,1. Resto país,9242446,1392190,150798,124985,8694406,229144,22548893,40.98846892395117,6.174094666199356,0.6687601027686814,0.5542844165343284,38.5580170166225,1.0162095318825628
2010-Q4,2. NOA-Resto,1126645,243490,35496,51808,1034112,35674,2244864,50.187672838978216,10.846536805793134,1.581209373930893,2.3078458205040486,46.06568593910366,1.589138584787319
2010-Q4,3. La Rioja,92053,26543,0,1853,86890,911,183413,50.18891790658241,14.471711383598763,0,1.010288256557605,47.37395931586092,0.4966932551127783
2011-Q1,1. Resto país,9384340,1499848,129485,174641,8721715,279750,22598176,41.52697987660597,6.6370312365033355,0.5729887226296494,0.7728101595456199,38.59477419770516,1.2379317693605005
2011-Q1,2. NOA-Resto,1111050,251370,27338,37551,1030119,33385,2252572,49.32361762465307,11.159243744484083,1.2136349026801363,1.6670277354064598,45.730791291021994,1.4820835915566737
2011-Q1,3. La Rioja,86413,23637,468,1069,80054,1727,184453,46.848248605335776,12.814646549527522,0.2537231706722038,0.5795514304456962,43.40075791665085,0.9362818712625981
2011-Q2,1. Resto país,9258919,1441035,107857,129909,8657845,237736,22646275,40.884953485727785,6.3632319222476985,0.4762681721386851,0.5736440098868357,38.230768636343065,1.0497797099081416
2011-Q2,2. NOA-Resto,1132065,267854,23936,32321,1021994,27283,2260163,50.08775915719353,11.85109215574275,1.0590386622557755,1.4300296040595302,45.21771217385649,1.207125326801651
2011-Q2,3. La Rioja,86964,18991,277,2139,82939,3023,185395,46.90741390005124,10.243534075892015,0.14941071765689473,1.1537527980797757,44.736373688610804,1.6305725612880608
2011-Q3,1. Resto país,9305852,1471978,85423,103092,8850806,194733,22695413,41.00322827348416,6.485795169270549,0.37638883240415144,0.45424156854955666,38.99821519000337,0.8580280076859583
2011-Q3,2. NOA-Resto,1116177,243298,24736,37927,1027443,41706,2267953,49.215173330311515,10.727647354244112,1.0906751594940458,1.672300969199979,45.302658388423396,1.8389269971644033
2011-Q3,3. La Rioja,91807,16156,217,1266,88504,440,186424,49.246341672746,8.666266145989788,0.1164013217182337,0.6790971119598336,47.47457408917307,0.23602111316139554
2011-Q4,1. Resto país,9251200,1336797,119800,109149,8702315,267540,22744827,40.673863995536216,5.8773671921092205,0.5267131730656821,0.4798849426289328,38.26063394546813,1.1762674651251468
2011-Q4,2. NOA-Resto,1131964,231046,19765,38736,1060298,26288,2275438,49.74708166076158,10.153913224618732,0.8686239748127613,1.7023535688513596,46.59753418902207,1.155294057671534
2011-Q4,3. La Rioja,96592,22216,104,1395,93688,1100,187377,51.549549838027076,11.856311073397482,0.05550307668497201,0.7444883843801534,49.99973315828517,0.5870517726295117
2012-Q1,1. Resto país,9161537,1598809,115819,82055,8476359,260615,22793966,40.1928168182755,7.014176471088884,0.5081125417138904,0.3599856207559492,37.186854626351554,1.1433508324088928
2012-Q1,2. NOA-Resto,1132401,268369,23008,38478,1038566,19078,2283400,49.59275641587107,11.753043706753088,1.0076202154681615,1.6851186826661997,45.48331435578523,0.8355084523079618
2012-Q1,3. La Rioja,96974,25021,193,1900,90911,86,188406,51.470759954566205,13.280362621147946,0.10243835122023714,1.0084604524272052,48.252709574005074,0.045646104688810335
2012-Q2,1. Resto país,9413649,1493315,116611,64422,8821969,247017,22841683,41.21258928249726,6.537675004070409,0.5105184237080954,0.28203701102059775,38.62223724933053,1.0814308210126198
2012-Q2,2. NOA-Resto,1111604,247002,33461,38185,1026772,21918,2290959,48.5213397533522,10.78159844850999,1.4605673868454214,1.66676924379703,44.8184362967648,0.9567172524693808
2012-Q2,3. La Rioja,95826,26166,395,1270,91891,1692,189360,50.60519645120406,13.818124207858048,0.2085973806506126,0.6706801858893113,48.52714406421631,0.8935361216730038
2012-Q3,1. Resto país,9561353,1464826,131384,70086,9024602,187074,22890925,41.76918582363972,6.399155997409453,0.573956709918887,0.30617373478791265,39.424365769404254,0.8172408934981876
2012-Q3,2. NOA-Resto,1121985,194668,32886,46886,1028514,25448,2298542,48.81289965552076,8.469194820020691,1.4307330472969386,2.039814804341187,44.74636530461484,1.1071366109472875
2012-Q3,3. La Rioja,91901,19104,408,0,88357,2805,190354,48.278995975918555,10.036038118452987,0.21433749750464923,0,46.41720163484875,1.4735702953444636
2012-Q4,1. Resto país,9299614,1446233,175561,84135,8783015,203343,22939532,40.53968494213395,6.304544486783775,0.7653207571976621,0.3667685984177881,38.28768171905163,0.886430464230918
2012-Q4,2. NOA-Resto,1164678,231822,22940,38019,1072194,25065,2306211,50.501797103560776,10.052072425289794,0.9947051679139507,1.6485482030915644,46.49158294709374,1.0868476475049333
2012-Q4,3. La Rioja,98310,20747,324,0,94627,1281,191269,51.398815281096255,10.847026962027302,0.16939493592793395,0,49.47325494460681,0.6697373855669241
2013-Q1,1. Resto país,9263520,1442928,87970,70249,8689290,214262,22988498,40.29632557986172,6.276738915261014,0.38266962895966494,0.30558325298155625,37.79842423806897,0.9320400140974847
2013-Q1,2. NOA-Resto,1148277,228206,17801,38062,1073993,23661,2313913,49.62489946683389,9.862341410416036,0.7693029081041508,1.6449192342149426,46.41457997772604,1.0225535705102138
2013-Q1,3. La Rioja,90921,27120,111,110,86502,866,192308,47.27884435384904,14.1023774361961,0.057719907648147765,0.05719990848014644,44.98096803045115,0.4503192794891528
2013-Q2,1. Resto país,9288468,1358798,215268,88512,8648996,177145,23035776,40.32192360266048,5.898642181622186,0.9344942406107787,0.38423711013685846,37.54592855912473,0.7689994901843116
2013-Q2,2. NOA-Resto,1129700,209928,18394,41187,1070392,12380,2321263,48.6674711137859,9.043697332012787,0.7924134404416906,1.7743357818566876,46.11248273030674,0.5333303464536332
2013-Q2,3. La Rioja,94316,23831,208,822,89157,1141,193233,48.809468362029264,12.332779597687765,0.10764206941878457,0.4253931781838506,46.13963453447393,0.5904788519559289
2013-Q3,1. Resto país,9489542,1393609,195487,100464,8869927,226887,23084476,41.1078943269061,6.036996464637101,0.8468331704821889,0.4352015614302876,38.42377448810188,0.9828553180067852
2013-Q3,2. NOA-Resto,1107558,200896,15504,30755,1040998,30828,2328944,47.556231493758546,8.626055413955854,0.6657094374102598,1.3205555822724806,44.6982838574049,1.3236900500827844
2013-Q3,3. La Rioja,108704,19721,288,658,104619,976,194281,55.95194589280476,10.15076101111277,0.1482388910907397,0.33868468867259277,53.84932134382673,0.5023651309186179
2013-Q4,1. Resto país,10124910,1919225,117730,68169,9359001,269639,23499293,43.08601965174016,8.167160603512624,0.5009937958559009,0.2900895784396577,39.826734361752926,1.1474345206896224
2013-Q4,2. NOA-Resto,1133409,243945,11126,34585,1061735,21858,2367473,47.87421018106648,10.304024586552835,0.4699525612330109,1.4608403137015713,44.84676277195136,0.9232629052158146
2013-Q4,3. La Rioja,104331,18225,256,0,100339,502,196105,53.20160118303969,9.293490732005813,0.13054231151678947,0,51.16595701282476,0.2559853139899544
2014-Q1,1. Resto país,10115456,1566353,138492,47658,9548290,203117,23738822,42.61144887475882,6.598276022289565,0.5833987887014781,0.20075975126314186,40.22225702690723,0.8556321792210245
2014-Q1,2. NOA-Resto,1156179,207265,6366,35521,1098805,22620,2390613,48.363285901984135,8.669952016491168,0.2662915327574978,1.4858532100344137,45.963315685140174,0.9462008279884699
2014-Q1,3. La Rioja,93514,10739,78,0,89707,832,197556,47.33543906537893,5.435927028285651,0.039482475854947456,0,45.408390532304765,0.42114640911943957
2014-Q2,1. Resto país,10228925,1544400,39039,72370,9753262,215691,23981363,42.653643164485686,6.440000929054783,0.16278891237332924,0.30177600831112056,40.67017375117503,0.899410930062649
2014-Q2,2. NOA-Resto,1171786,171254,7178,28927,1107859,38763,2413176,48.55783415714395,7.096622873756411,0.2974503310160552,1.1987107446783825,45.908752614811355,1.6063063779848632
2014-Q2,3. La Rioja,94012,13760,192,104,90190,749,199026,47.23603951242551,6.913669570809844,0.09646980796478852,0.052254479314260444,45.31568739762644,0.37633274044597187
2014-Q3,1. Resto país,10265005,1480492,32115,80458,9750187,272934,24039198,42.70111257455428,6.158658038425409,0.1335943070979323,0.33469502601542694,40.55953530562875,1.13537065587629
2014-Q3,2. NOA-Resto,1167385,195962,13473,13015,1088016,31201,2420645,48.22619591059408,8.095445635357517,0.5565871906041572,0.537666613650494,44.947359071652386,1.2889539771424559
2014-Q3,3. La Rioja,95346,16225,1026,325,91212,198,199929,47.68992992512342,8.115380960240886,0.5131821796737842,0.16255770798633515,45.62219587953724,0.09903515748090572
2014-Q4,1. Resto país,10342677,1443909,46550,68237,9819977,247227,24096424,42.922041046422486,5.992212786428393,0.19318219168122208,0.28318309803977554,40.75283950846815,1.0259904125193016
2014-Q4,2. NOA-Resto,1163386,209734,8965,28150,1102380,21501,2427763,47.92008116113476,8.638981646890574,0.3692699822841027,1.1595036253538753,45.40723291359165,0.8856301047507521
2014-Q4,3. La Rioja,96555,17008,884,0,90938,890,200933,48.05333120990579,8.464513046637437,0.4399476442396221,0,45.25787202699407,0.442933714223149
2015-Q1,1. Resto país,10319147,1532198,41995,38038,9790396,282125,24150002,42.72938362489577,6.344504650558622,0.17389232514349273,0.1575072333327343,40.53993867164069,1.1682193649507773
2015-Q1,2. NOA-Resto,1112748,190778,7951,36885,1053402,29713,2434687,45.70394469597119,7.835832696358916,0.32657175234434654,1.5149791328413056,43.26642397975592,1.2204032797645037
2015-Q1,3. La Rioja,91996,11723,288,0,88142,0,201847,45.57709552284651,5.80786437251978,0.14268232869450623,0,43.66772852705267,0
2015-Q2,1. Resto país,10397263,1366701,27934,63526,9868340,278073,24203885,42.95700049806054,5.646618301152893,0.11541122427246701,0.26246199731985176,40.77171908559308,1.1488775458981069
2015-Q2,2. NOA-Resto,1166409,196586,12733,32636,1107178,14219,2441475,47.77476730255276,8.05193581748738,0.5215289937435361,1.3367329176010403,45.34873385965451,0.5823938397894716
2015-Q2,3. La Rioja,95933,11945,605,178,94219,0,202781,47.30867290327989,5.8905913275898625,0.29835142345683274,0.0877794270666384,46.463426060626986,0
2016-Q2,1. Resto país,9600290,1252605,89526,66235,8998581,259562,24595514,39.0326870176407,5.092818958774352,0.3639932062407803,0.26929707588139856,36.58626934976842,1.0553225275145703
2016-Q2,2. NOA-Resto,1121931,185637,11220,30660,1035665,12551,2403859,46.6720801844035,7.722457931184816,0.4667495056906416,1.2754491839995608,43.08343376212997,0.5221188097970804
